 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/206Pt_in_si.txt

 Ion = Platinum     [78] , Mass = 205.9901 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Platinum     [78] , Mass = 205.9901 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.024E-01  1.865E+00      45 A        13 A         9 A   
   1.10 keV   2.123E-01  1.965E+00      46 A        13 A         9 A   
   1.20 keV   2.217E-01  2.059E+00      48 A        13 A        10 A   
   1.30 keV   2.307E-01  2.150E+00      50 A        14 A        10 A   
   1.40 keV   2.395E-01  2.237E+00      51 A        14 A        10 A   
   1.50 keV   2.479E-01  2.320E+00      53 A        15 A        11 A   
   1.60 keV   2.560E-01  2.400E+00      54 A        15 A        11 A   
   1.70 keV   2.639E-01  2.477E+00      55 A        15 A        11 A   
   1.80 keV   2.715E-01  2.552E+00      57 A        16 A        11 A   
   2.00 keV   2.862E-01  2.695E+00      59 A        17 A        12 A   
   2.25 keV   3.036E-01  2.862E+00      62 A        17 A        12 A   
   2.50 keV   3.200E-01  3.018E+00      65 A        18 A        13 A   
   2.75 keV   3.356E-01  3.165E+00      68 A        19 A        13 A   
   3.00 keV   3.505E-01  3.304E+00      71 A        19 A        14 A   
   3.25 keV   3.648E-01  3.435E+00      73 A        20 A        14 A   
   3.50 keV   3.786E-01  3.561E+00      76 A        21 A        15 A   
   3.75 keV   3.919E-01  3.680E+00      78 A        21 A        15 A   
   4.00 keV   4.047E-01  3.795E+00      80 A        22 A        16 A   
   4.50 keV   4.293E-01  4.011E+00      85 A        23 A        16 A   
