 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/216Pb_in_si.txt

 Ion = Lead         [82] , Mass = 216.0081 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lead         [82] , Mass = 216.0081 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.930E-01  1.855E+00      46 A        13 A         9 A   
   1.10 keV   2.024E-01  1.954E+00      47 A        13 A         9 A   
   1.20 keV   2.114E-01  2.050E+00      49 A        14 A        10 A   
   1.30 keV   2.200E-01  2.140E+00      51 A        14 A        10 A   
   1.40 keV   2.283E-01  2.227E+00      52 A        14 A        10 A   
   1.50 keV   2.364E-01  2.311E+00      54 A        15 A        11 A   
   1.60 keV   2.441E-01  2.392E+00      55 A        15 A        11 A   
   1.70 keV   2.516E-01  2.470E+00      57 A        16 A        11 A   
   1.80 keV   2.589E-01  2.545E+00      58 A        16 A        11 A   
   2.00 keV   2.729E-01  2.689E+00      61 A        17 A        12 A   
   2.25 keV   2.895E-01  2.857E+00      64 A        17 A        12 A   
   2.50 keV   3.051E-01  3.015E+00      67 A        18 A        13 A   
   2.75 keV   3.200E-01  3.163E+00      69 A        19 A        13 A   
   3.00 keV   3.343E-01  3.303E+00      72 A        20 A        14 A   
   3.25 keV   3.479E-01  3.437E+00      75 A        20 A        14 A   
   3.50 keV   3.610E-01  3.564E+00      77 A        21 A        15 A   
   3.75 keV   3.737E-01  3.685E+00      79 A        21 A        15 A   
   4.00 keV   3.860E-01  3.801E+00      82 A        22 A        16 A   
   4.50 keV   4.094E-01  4.020E+00      86 A        23 A        16 A   
