 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/29P_in_si.txt

 Ion = Phosphorus   [15] , Mass = 28.9818 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 28.9818 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.276E-01  1.114E+00      34 A        21 A        15 A   
   1.10 keV   1.338E-01  1.150E+00      36 A        23 A        16 A   
   1.20 keV   1.397E-01  1.182E+00      38 A        24 A        17 A   
   1.30 keV   1.454E-01  1.211E+00      40 A        25 A        18 A   
   1.40 keV   1.509E-01  1.239E+00      42 A        26 A        18 A   
   1.50 keV   1.562E-01  1.265E+00      44 A        27 A        19 A   
   1.60 keV   1.614E-01  1.288E+00      46 A        27 A        20 A   
   1.70 keV   1.663E-01  1.311E+00      47 A        28 A        21 A   
   1.80 keV   1.711E-01  1.332E+00      49 A        29 A        21 A   
   2.00 keV   1.804E-01  1.370E+00      53 A        31 A        23 A   
   2.25 keV   1.913E-01  1.412E+00      57 A        33 A        24 A   
   2.50 keV   2.017E-01  1.450E+00      61 A        35 A        26 A   
   2.75 keV   2.115E-01  1.483E+00      65 A        37 A        27 A   
   3.00 keV   2.209E-01  1.512E+00      69 A        39 A        29 A   
   3.25 keV   2.300E-01  1.539E+00      73 A        41 A        30 A   
   3.50 keV   2.386E-01  1.563E+00      77 A        43 A        31 A   
   3.75 keV   2.470E-01  1.585E+00      81 A        45 A        33 A   
   4.00 keV   2.551E-01  1.605E+00      84 A        47 A        34 A   
   4.50 keV   2.706E-01  1.640E+00      92 A        50 A        37 A   
