 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/35Al_in_si.txt

 Ion = Aluminum     [13] , Mass = 34.99976 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Aluminum     [13] , Mass = 34.99976 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.152E-02  1.094E+00      38 A        22 A        16 A   
   1.10 keV   8.550E-02  1.128E+00      41 A        23 A        17 A   
   1.20 keV   8.930E-02  1.159E+00      43 A        24 A        18 A   
   1.30 keV   9.295E-02  1.187E+00      45 A        25 A        18 A   
   1.40 keV   9.646E-02  1.214E+00      47 A        26 A        19 A   
   1.50 keV   9.984E-02  1.238E+00      49 A        27 A        20 A   
   1.60 keV   1.031E-01  1.261E+00      51 A        28 A        21 A   
   1.70 keV   1.063E-01  1.282E+00      53 A        29 A        21 A   
   1.80 keV   1.094E-01  1.303E+00      55 A        30 A        22 A   
   2.00 keV   1.153E-01  1.339E+00      59 A        32 A        23 A   
   2.25 keV   1.223E-01  1.380E+00      64 A        34 A        25 A   
   2.50 keV   1.289E-01  1.415E+00      69 A        37 A        27 A   
   2.75 keV   1.352E-01  1.447E+00      73 A        39 A        28 A   
   3.00 keV   1.412E-01  1.475E+00      78 A        41 A        30 A   
   3.25 keV   1.470E-01  1.500E+00      82 A        43 A        31 A   
   3.50 keV   1.525E-01  1.523E+00      86 A        45 A        33 A   
   3.75 keV   1.579E-01  1.543E+00      91 A        47 A        34 A   
   4.00 keV   1.630E-01  1.562E+00      95 A        49 A        35 A   
   4.50 keV   1.729E-01  1.595E+00     103 A        52 A        38 A   
