 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/36Mg_in_si.txt

 Ion = Magnesium    [12] , Mass = 36.02188 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Magnesium    [12] , Mass = 36.02188 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    6.432E-02  1.056E+00      40 A        23 A        17 A   
   1.10 keV   6.746E-02  1.088E+00      43 A        24 A        17 A   
   1.20 keV   7.046E-02  1.118E+00      45 A        25 A        18 A   
   1.30 keV   7.334E-02  1.145E+00      47 A        26 A        19 A   
   1.40 keV   7.611E-02  1.169E+00      49 A        27 A        20 A   
   1.50 keV   7.878E-02  1.193E+00      52 A        29 A        21 A   
   1.60 keV   8.136E-02  1.214E+00      54 A        30 A        21 A   
   1.70 keV   8.387E-02  1.234E+00      56 A        31 A        22 A   
   1.80 keV   8.630E-02  1.253E+00      58 A        32 A        23 A   
   2.00 keV   9.097E-02  1.287E+00      62 A        33 A        24 A   
   2.25 keV   9.648E-02  1.325E+00      67 A        36 A        26 A   
   2.50 keV   1.017E-01  1.358E+00      72 A        38 A        28 A   
   2.75 keV   1.067E-01  1.387E+00      77 A        40 A        29 A   
   3.00 keV   1.114E-01  1.413E+00      82 A        42 A        31 A   
   3.25 keV   1.160E-01  1.436E+00      87 A        45 A        33 A   
   3.50 keV   1.203E-01  1.457E+00      92 A        47 A        34 A   
   3.75 keV   1.246E-01  1.476E+00      96 A        49 A        36 A   
   4.00 keV   1.286E-01  1.493E+00     101 A        51 A        37 A   
   4.50 keV   1.364E-01  1.523E+00     110 A        55 A        40 A   
