 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/51Cr_in_si.txt

 Ion = Chromium     [24] , Mass = 50.94477 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Chromium     [24] , Mass = 50.94477 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.085E-01  1.566E+00      33 A        17 A        12 A   
   1.10 keV   1.138E-01  1.627E+00      35 A        18 A        13 A   
   1.20 keV   1.188E-01  1.683E+00      36 A        19 A        14 A   
   1.30 keV   1.237E-01  1.736E+00      38 A        19 A        14 A   
   1.40 keV   1.284E-01  1.785E+00      39 A        20 A        15 A   
   1.50 keV   1.329E-01  1.831E+00      41 A        21 A        15 A   
   1.60 keV   1.372E-01  1.875E+00      43 A        21 A        16 A   
   1.70 keV   1.414E-01  1.916E+00      44 A        22 A        16 A   
   1.80 keV   1.455E-01  1.956E+00      45 A        23 A        16 A   
   2.00 keV   1.534E-01  2.029E+00      48 A        24 A        17 A   
   2.25 keV   1.627E-01  2.112E+00      52 A        25 A        18 A   
   2.50 keV   1.715E-01  2.186E+00      55 A        27 A        19 A   
   2.75 keV   1.799E-01  2.254E+00      58 A        28 A        20 A   
   3.00 keV   1.879E-01  2.316E+00      61 A        29 A        21 A   
   3.25 keV   1.956E-01  2.373E+00      64 A        30 A        22 A   
   3.50 keV   2.029E-01  2.425E+00      67 A        31 A        23 A   
   3.75 keV   2.101E-01  2.474E+00      70 A        33 A        24 A   
   4.00 keV   2.170E-01  2.520E+00      73 A        34 A        25 A   
   4.50 keV   2.301E-01  2.603E+00      78 A        36 A        27 A   
