 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/82Ga_in_si.txt

 Ion = Gallium      [31] , Mass = 81.94318 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gallium      [31] , Mass = 81.94318 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.449E-02  1.742E+00      37 A        16 A        11 A   
   1.10 keV   8.862E-02  1.817E+00      38 A        16 A        12 A   
   1.20 keV   9.256E-02  1.888E+00      40 A        17 A        12 A   
   1.30 keV   9.634E-02  1.954E+00      42 A        18 A        13 A   
   1.40 keV   9.997E-02  2.016E+00      43 A        18 A        13 A   
   1.50 keV   1.035E-01  2.076E+00      45 A        19 A        14 A   
   1.60 keV   1.069E-01  2.132E+00      46 A        19 A        14 A   
   1.70 keV   1.102E-01  2.186E+00      48 A        20 A        15 A   
   1.80 keV   1.134E-01  2.237E+00      49 A        20 A        15 A   
   2.00 keV   1.195E-01  2.333E+00      52 A        21 A        16 A   
   2.25 keV   1.267E-01  2.443E+00      55 A        23 A        17 A   
   2.50 keV   1.336E-01  2.543E+00      58 A        24 A        17 A   
   2.75 keV   1.401E-01  2.635E+00      61 A        25 A        18 A   
   3.00 keV   1.463E-01  2.721E+00      64 A        26 A        19 A   
   3.25 keV   1.523E-01  2.800E+00      67 A        27 A        20 A   
   3.50 keV   1.581E-01  2.874E+00      70 A        28 A        21 A   
   3.75 keV   1.636E-01  2.943E+00      73 A        29 A        21 A   
   4.00 keV   1.690E-01  3.009E+00      75 A        29 A        22 A   
   4.50 keV   1.792E-01  3.129E+00      80 A        31 A        23 A   
