 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/94Cd_in_si.txt

 Ion = Cadmium      [48] , Mass = 93.95659 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 93.95659 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.054E-02  1.996E+00      35 A        14 A        11 A   
   1.10 keV   9.496E-02  2.090E+00      36 A        15 A        11 A   
   1.20 keV   9.918E-02  2.179E+00      38 A        16 A        11 A   
   1.30 keV   1.032E-01  2.262E+00      39 A        16 A        12 A   
   1.40 keV   1.071E-01  2.342E+00      41 A        17 A        12 A   
   1.50 keV   1.109E-01  2.418E+00      42 A        17 A        12 A   
   1.60 keV   1.145E-01  2.490E+00      43 A        18 A        13 A   
   1.70 keV   1.181E-01  2.559E+00      44 A        18 A        13 A   
   1.80 keV   1.215E-01  2.626E+00      46 A        18 A        13 A   
   2.00 keV   1.280E-01  2.751E+00      48 A        19 A        14 A   
   2.25 keV   1.358E-01  2.896E+00      51 A        20 A        15 A   
   2.50 keV   1.432E-01  3.029E+00      53 A        21 A        16 A   
   2.75 keV   1.501E-01  3.153E+00      56 A        22 A        16 A   
   3.00 keV   1.568E-01  3.269E+00      59 A        23 A        17 A   
   3.25 keV   1.632E-01  3.377E+00      61 A        24 A        17 A   
   3.50 keV   1.694E-01  3.479E+00      63 A        25 A        18 A   
   3.75 keV   1.753E-01  3.575E+00      66 A        25 A        19 A   
   4.00 keV   1.811E-01  3.666E+00      68 A        26 A        19 A   
   4.50 keV   1.921E-01  3.835E+00      72 A        28 A        20 A   
