 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/125I_in_ti.txt

 Ion = Iodine       [53] , Mass = 124.9046 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iodine       [53] , Mass = 124.9046 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.035E-02  1.457E+00      23 A        11 A         8 A   
   1.10 keV   9.476E-02  1.529E+00      24 A        11 A         8 A   
   1.20 keV   9.897E-02  1.598E+00      25 A        12 A         9 A   
   1.30 keV   1.030E-01  1.662E+00      26 A        12 A         9 A   
   1.40 keV   1.069E-01  1.724E+00      27 A        13 A         9 A   
   1.50 keV   1.107E-01  1.783E+00      28 A        13 A         9 A   
   1.60 keV   1.143E-01  1.840E+00      28 A        13 A        10 A   
   1.70 keV   1.178E-01  1.894E+00      29 A        14 A        10 A   
   1.80 keV   1.212E-01  1.946E+00      30 A        14 A        10 A   
   2.00 keV   1.278E-01  2.045E+00      31 A        15 A        11 A   
   2.25 keV   1.355E-01  2.160E+00      33 A        15 A        11 A   
   2.50 keV   1.429E-01  2.267E+00      35 A        16 A        12 A   
   2.75 keV   1.498E-01  2.366E+00      37 A        17 A        12 A   
   3.00 keV   1.565E-01  2.459E+00      38 A        17 A        13 A   
   3.25 keV   1.629E-01  2.547E+00      40 A        18 A        13 A   
   3.50 keV   1.690E-01  2.630E+00      41 A        18 A        13 A   
   3.75 keV   1.750E-01  2.708E+00      43 A        19 A        14 A   
   4.00 keV   1.807E-01  2.783E+00      44 A        20 A        14 A   
   4.50 keV   1.917E-01  2.923E+00      47 A        21 A        15 A   
