 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/131Cd_in_ti.txt

 Ion = Cadmium      [48] , Mass = 130.9407 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 130.9407 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.938E-02  1.408E+00      25 A        12 A         8 A   
   1.10 keV   5.179E-02  1.477E+00      26 A        12 A         9 A   
   1.20 keV   5.410E-02  1.542E+00      27 A        12 A         9 A   
   1.30 keV   5.631E-02  1.604E+00      28 A        13 A         9 A   
   1.40 keV   5.843E-02  1.663E+00      29 A        13 A        10 A   
   1.50 keV   6.048E-02  1.719E+00      29 A        14 A        10 A   
   1.60 keV   6.247E-02  1.773E+00      30 A        14 A        10 A   
   1.70 keV   6.439E-02  1.825E+00      31 A        14 A        10 A   
   1.80 keV   6.626E-02  1.875E+00      32 A        15 A        11 A   
   2.00 keV   6.984E-02  1.969E+00      34 A        15 A        11 A   
   2.25 keV   7.408E-02  2.079E+00      36 A        16 A        12 A   
   2.50 keV   7.808E-02  2.180E+00      37 A        17 A        12 A   
   2.75 keV   8.189E-02  2.274E+00      39 A        18 A        13 A   
   3.00 keV   8.554E-02  2.363E+00      41 A        18 A        13 A   
   3.25 keV   8.903E-02  2.446E+00      42 A        19 A        14 A   
   3.50 keV   9.239E-02  2.525E+00      44 A        19 A        14 A   
   3.75 keV   9.563E-02  2.599E+00      46 A        20 A        15 A   
   4.00 keV   9.877E-02  2.670E+00      47 A        21 A        15 A   
   4.50 keV   1.048E-01  2.802E+00      50 A        22 A        16 A   
