 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/131Pd_in_ti.txt

 Ion = Palladium    [46] , Mass = 130.9724 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Palladium    [46] , Mass = 130.9724 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.897E-02  1.389E+00      25 A        12 A         9 A   
   1.10 keV   5.136E-02  1.457E+00      26 A        12 A         9 A   
   1.20 keV   5.365E-02  1.521E+00      27 A        13 A         9 A   
   1.30 keV   5.584E-02  1.582E+00      28 A        13 A         9 A   
   1.40 keV   5.795E-02  1.640E+00      29 A        13 A        10 A   
   1.50 keV   5.998E-02  1.695E+00      30 A        14 A        10 A   
   1.60 keV   6.195E-02  1.748E+00      31 A        14 A        10 A   
   1.70 keV   6.385E-02  1.798E+00      32 A        14 A        11 A   
   1.80 keV   6.571E-02  1.847E+00      32 A        15 A        11 A   
   2.00 keV   6.926E-02  1.940E+00      34 A        16 A        11 A   
   2.25 keV   7.346E-02  2.047E+00      36 A        16 A        12 A   
   2.50 keV   7.744E-02  2.146E+00      38 A        17 A        12 A   
   2.75 keV   8.122E-02  2.238E+00      40 A        18 A        13 A   
   3.00 keV   8.483E-02  2.324E+00      41 A        18 A        13 A   
   3.25 keV   8.829E-02  2.405E+00      43 A        19 A        14 A   
   3.50 keV   9.162E-02  2.482E+00      45 A        20 A        14 A   
   3.75 keV   9.484E-02  2.555E+00      46 A        20 A        15 A   
   4.00 keV   9.795E-02  2.624E+00      48 A        21 A        15 A   
   4.50 keV   1.039E-01  2.752E+00      51 A        22 A        16 A   
