 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/134Te_in_ti.txt

 Ion = Tellurium    [52] , Mass = 133.9114 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tellurium    [52] , Mass = 133.9114 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.335E-02  1.439E+00      25 A        11 A         8 A   
   1.10 keV   4.546E-02  1.510E+00      26 A        12 A         9 A   
   1.20 keV   4.749E-02  1.578E+00      27 A        12 A         9 A   
   1.30 keV   4.942E-02  1.642E+00      27 A        13 A         9 A   
   1.40 keV   5.129E-02  1.703E+00      28 A        13 A        10 A   
   1.50 keV   5.309E-02  1.762E+00      29 A        14 A        10 A   
   1.60 keV   5.483E-02  1.818E+00      30 A        14 A        10 A   
   1.70 keV   5.652E-02  1.872E+00      31 A        14 A        10 A   
   1.80 keV   5.816E-02  1.923E+00      32 A        15 A        11 A   
   2.00 keV   6.130E-02  2.022E+00      33 A        15 A        11 A   
   2.25 keV   6.502E-02  2.136E+00      35 A        16 A        12 A   
   2.50 keV   6.854E-02  2.241E+00      37 A        17 A        12 A   
   2.75 keV   7.189E-02  2.340E+00      39 A        17 A        13 A   
   3.00 keV   7.508E-02  2.433E+00      40 A        18 A        13 A   
   3.25 keV   7.815E-02  2.520E+00      42 A        19 A        14 A   
   3.50 keV   8.110E-02  2.602E+00      44 A        19 A        14 A   
   3.75 keV   8.394E-02  2.681E+00      45 A        20 A        14 A   
   4.00 keV   8.670E-02  2.755E+00      46 A        20 A        15 A   
   4.50 keV   9.196E-02  2.894E+00      49 A        21 A        16 A   
