 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/187Pb_in_ti.txt

 Ion = Lead         [82] , Mass = 186.9839 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lead         [82] , Mass = 186.9839 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.336E-01  1.537E+00      25 A        10 A         7 A   
   1.10 keV   1.401E-01  1.619E+00      26 A        10 A         8 A   
   1.20 keV   1.463E-01  1.697E+00      27 A        11 A         8 A   
   1.30 keV   1.523E-01  1.772E+00      28 A        11 A         8 A   
   1.40 keV   1.580E-01  1.844E+00      29 A        11 A         8 A   
   1.50 keV   1.636E-01  1.912E+00      30 A        12 A         8 A   
   1.60 keV   1.689E-01  1.979E+00      31 A        12 A         9 A   
   1.70 keV   1.741E-01  2.043E+00      31 A        12 A         9 A   
   1.80 keV   1.792E-01  2.104E+00      32 A        12 A         9 A   
   2.00 keV   1.889E-01  2.222E+00      34 A        13 A         9 A   
   2.25 keV   2.003E-01  2.360E+00      35 A        14 A        10 A   
   2.50 keV   2.112E-01  2.489E+00      37 A        14 A        10 A   
   2.75 keV   2.215E-01  2.611E+00      39 A        15 A        11 A   
   3.00 keV   2.313E-01  2.726E+00      40 A        15 A        11 A   
   3.25 keV   2.408E-01  2.834E+00      41 A        16 A        11 A   
   3.50 keV   2.499E-01  2.938E+00      43 A        16 A        12 A   
   3.75 keV   2.586E-01  3.037E+00      44 A        17 A        12 A   
   4.00 keV   2.671E-01  3.132E+00      46 A        17 A        12 A   
   4.50 keV   2.833E-01  3.311E+00      48 A        18 A        13 A   
