 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/200At_in_ti.txt

 Ion = Astatine     [85] , Mass = 199.9904 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Astatine     [85] , Mass = 199.9904 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.367E-01  1.525E+00      26 A        10 A         7 A   
   1.10 keV   1.434E-01  1.608E+00      27 A        10 A         7 A   
   1.20 keV   1.498E-01  1.686E+00      28 A        10 A         8 A   
   1.30 keV   1.559E-01  1.761E+00      29 A        11 A         8 A   
   1.40 keV   1.618E-01  1.832E+00      30 A        11 A         8 A   
   1.50 keV   1.675E-01  1.901E+00      31 A        11 A         8 A   
   1.60 keV   1.730E-01  1.968E+00      31 A        12 A         9 A   
   1.70 keV   1.783E-01  2.032E+00      32 A        12 A         9 A   
   1.80 keV   1.834E-01  2.094E+00      33 A        12 A         9 A   
   2.00 keV   1.934E-01  2.213E+00      34 A        13 A         9 A   
   2.25 keV   2.051E-01  2.351E+00      36 A        13 A        10 A   
   2.50 keV   2.162E-01  2.481E+00      38 A        14 A        10 A   
   2.75 keV   2.267E-01  2.604E+00      39 A        15 A        11 A   
   3.00 keV   2.368E-01  2.719E+00      41 A        15 A        11 A   
   3.25 keV   2.465E-01  2.829E+00      42 A        16 A        11 A   
   3.50 keV   2.558E-01  2.934E+00      44 A        16 A        12 A   
   3.75 keV   2.648E-01  3.034E+00      45 A        17 A        12 A   
   4.00 keV   2.735E-01  3.130E+00      47 A        17 A        12 A   
   4.50 keV   2.901E-01  3.311E+00      49 A        18 A        13 A   
