 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/219Th_in_ti.txt

 Ion = Thorium      [90] , Mass = 219.0155 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Thorium      [90] , Mass = 219.0155 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.298E-01  1.509E+00      27 A        10 A         7 A   
   1.10 keV   1.361E-01  1.591E+00      28 A        10 A         7 A   
   1.20 keV   1.422E-01  1.670E+00      29 A        10 A         8 A   
   1.30 keV   1.480E-01  1.745E+00      30 A        11 A         8 A   
   1.40 keV   1.536E-01  1.817E+00      31 A        11 A         8 A   
   1.50 keV   1.590E-01  1.886E+00      32 A        11 A         8 A   
   1.60 keV   1.642E-01  1.953E+00      33 A        12 A         9 A   
   1.70 keV   1.692E-01  2.017E+00      33 A        12 A         9 A   
   1.80 keV   1.742E-01  2.080E+00      34 A        12 A         9 A   
   2.00 keV   1.836E-01  2.199E+00      36 A        13 A         9 A   
   2.25 keV   1.947E-01  2.339E+00      38 A        13 A        10 A   
   2.50 keV   2.052E-01  2.470E+00      39 A        14 A        10 A   
   2.75 keV   2.153E-01  2.594E+00      41 A        15 A        11 A   
   3.00 keV   2.248E-01  2.711E+00      42 A        15 A        11 A   
   3.25 keV   2.340E-01  2.822E+00      44 A        16 A        11 A   
   3.50 keV   2.428E-01  2.929E+00      45 A        16 A        12 A   
   3.75 keV   2.514E-01  3.030E+00      47 A        17 A        12 A   
   4.00 keV   2.596E-01  3.128E+00      48 A        17 A        12 A   
   4.50 keV   2.754E-01  3.312E+00      51 A        18 A        13 A   
