 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/231Ac_in_ti.txt

 Ion = Actinium     [89] , Mass = 231.0384 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Actinium     [89] , Mass = 231.0384 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.267E-01  1.482E+00      28 A        10 A         7 A   
   1.10 keV   1.329E-01  1.563E+00      29 A        10 A         8 A   
   1.20 keV   1.388E-01  1.641E+00      30 A        11 A         8 A   
   1.30 keV   1.445E-01  1.715E+00      31 A        11 A         8 A   
   1.40 keV   1.500E-01  1.786E+00      32 A        11 A         8 A   
   1.50 keV   1.552E-01  1.854E+00      33 A        12 A         8 A   
   1.60 keV   1.603E-01  1.920E+00      34 A        12 A         9 A   
   1.70 keV   1.653E-01  1.983E+00      35 A        12 A         9 A   
   1.80 keV   1.700E-01  2.045E+00      35 A        12 A         9 A   
   2.00 keV   1.792E-01  2.162E+00      37 A        13 A         9 A   
   2.25 keV   1.901E-01  2.300E+00      39 A        14 A        10 A   
   2.50 keV   2.004E-01  2.430E+00      40 A        14 A        10 A   
   2.75 keV   2.102E-01  2.552E+00      42 A        15 A        11 A   
   3.00 keV   2.195E-01  2.668E+00      44 A        15 A        11 A   
   3.25 keV   2.285E-01  2.777E+00      45 A        16 A        11 A   
   3.50 keV   2.371E-01  2.882E+00      47 A        16 A        12 A   
   3.75 keV   2.454E-01  2.983E+00      48 A        17 A        12 A   
   4.00 keV   2.535E-01  3.079E+00      50 A        17 A        12 A   
   4.50 keV   2.689E-01  3.261E+00      52 A        18 A        13 A   
