 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/ti/33S_in_ti.txt

 Ion = Sulfur       [16] , Mass = 32.97146 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 32.97146 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.177E-02  7.229E-01      23 A        17 A        13 A   
   1.10 keV   9.625E-02  7.481E-01      24 A        18 A        13 A   
   1.20 keV   1.005E-01  7.714E-01      25 A        19 A        14 A   
   1.30 keV   1.046E-01  7.930E-01      26 A        20 A        14 A   
   1.40 keV   1.086E-01  8.131E-01      28 A        21 A        15 A   
   1.50 keV   1.124E-01  8.319E-01      29 A        21 A        16 A   
   1.60 keV   1.161E-01  8.496E-01      30 A        22 A        16 A   
   1.70 keV   1.197E-01  8.663E-01      31 A        23 A        17 A   
   1.80 keV   1.231E-01  8.820E-01      32 A        24 A        17 A   
   2.00 keV   1.298E-01  9.110E-01      34 A        25 A        18 A   
   2.25 keV   1.377E-01  9.435E-01      37 A        27 A        19 A   
   2.50 keV   1.451E-01  9.723E-01      40 A        29 A        21 A   
   2.75 keV   1.522E-01  9.983E-01      42 A        30 A        22 A   
   3.00 keV   1.590E-01  1.022E+00      45 A        32 A        23 A   
   3.25 keV   1.654E-01  1.043E+00      47 A        33 A        24 A   
   3.50 keV   1.717E-01  1.063E+00      50 A        35 A        25 A   
   3.75 keV   1.777E-01  1.081E+00      52 A        36 A        26 A   
   4.00 keV   1.835E-01  1.097E+00      54 A        37 A        27 A   
   4.50 keV   1.947E-01  1.127E+00      59 A        40 A        29 A   
