 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/ti/89Rh_in_ti.txt

 Ion = Rhodium      [45] , Mass = 88.95099 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhodium      [45] , Mass = 88.95099 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.427E-02  1.398E+00      21 A        12 A         9 A   
   1.10 keV   5.692E-02  1.463E+00      22 A        12 A         9 A   
   1.20 keV   5.945E-02  1.525E+00      23 A        13 A         9 A   
   1.30 keV   6.187E-02  1.584E+00      24 A        13 A        10 A   
   1.40 keV   6.421E-02  1.640E+00      25 A        14 A        10 A   
   1.50 keV   6.646E-02  1.693E+00      26 A        14 A        10 A   
   1.60 keV   6.864E-02  1.743E+00      26 A        14 A        10 A   
   1.70 keV   7.076E-02  1.792E+00      27 A        15 A        11 A   
   1.80 keV   7.281E-02  1.839E+00      28 A        15 A        11 A   
   2.00 keV   7.675E-02  1.927E+00      29 A        16 A        11 A   
   2.25 keV   8.140E-02  2.028E+00      31 A        17 A        12 A   
   2.50 keV   8.580E-02  2.122E+00      33 A        17 A        13 A   
   2.75 keV   8.999E-02  2.208E+00      34 A        18 A        13 A   
   3.00 keV   9.399E-02  2.289E+00      36 A        19 A        14 A   
   3.25 keV   9.783E-02  2.365E+00      38 A        20 A        14 A   
   3.50 keV   1.015E-01  2.437E+00      39 A        20 A        15 A   
   3.75 keV   1.051E-01  2.504E+00      40 A        21 A        15 A   
   4.00 keV   1.085E-01  2.568E+00      42 A        22 A        16 A   
   4.50 keV   1.151E-01  2.687E+00      45 A        23 A        17 A   
